city,lat,lng,country,timestamp,aqi_val,co,no,no2,o3,pm2_5,pm10,nh3
Geneva,46.2017,6.1469,Switzerland,1699482990,2,216.96,0.0,2.16,73.67,1.09,1.37,0.75
Oradea,47.0722,21.9211,Romania,1699483208,1,243.66,0.0,3.51,47.21,2.67,4.65,0.93
Rzeszow,50.0333,22.0,Poland,1699483209,1,317.1,0.0,12.17,42.2,6.81,9.38,0.62
Mus,38.7333,41.4911,Turkey,1699482794,2,280.38,0.0,15.59,55.08,20.03,22.3,23.05
Rijeka,45.3272,14.4411,Croatia,1699483209,1,337.12,0.0,17.48,38.62,9.53,11.59,0.31
Nis,43.3192,21.8961,Serbia,1699483209,1,247.0,0.02,6.77,25.39,9.6,12.57,0.31
Braga,41.5503,-8.42,Portugal,1699483209,2,208.62,0.0,1.39,85.12,2.6,4.04,0.21
Canakkale,40.1519,26.4056,Turkey,1699482672,2,211.95,0.0,3.3,78.68,14.62,25.1,0.0
Saarbrucken,49.2333,7.0,Germany,1699483209,2,233.65,0.0,6.08,65.8,1.64,1.87,0.79
Santander,43.4628,-3.805,Spain,1699483209,2,216.96,0.0,1.84,70.1,0.5,0.55,0.36
Siirt,37.925,41.9458,Turkey,1699483209,2,233.65,0.0,10.97,42.92,15.75,17.52,3.26
Perugia,43.1122,12.3889,Italy,1699483209,1,283.72,0.0,5.74,34.33,3.01,4.65,2.09
Pristina,42.6633,21.1622,Kosovo,1699483210,1,247.0,0.01,3.86,31.83,4.67,7.12,0.54
Arad,46.175,21.3125,Romania,1699483210,1,253.68,0.0,5.74,37.19,3.42,6.06,1.19
Dijon,47.3167,5.0167,France,1699483210,1,280.38,0.0,9.68,50.07,5.54,6.4,1.22
Erzincan,39.7464,39.4914,Turkey,1699482699,2,260.35,0.0,16.79,35.05,12.48,13.57,5.45
Salzburg,47.8,13.045,Austria,1699483210,2,560.76,0.63,35.99,10.46,15.64,17.69,7.35
Cagliari,39.2278,9.1111,Italy,1699483210,1,317.1,0.0,6.86,39.7,3.71,5.01,10.89
Nevsehir,38.6264,34.7139,Turkey,1699483210,2,320.44,0.0,22.96,25.39,17.42,20.75,8.61
Podgorica,42.4413,19.2629,Montenegro,1699483210,1,226.97,0.0,5.14,50.78,3.58,5.2,2.31
Logrono,42.465,-2.4456,Spain,1699483210,1,230.31,0.0,8.05,25.75,2.14,2.69,1.92
Miskolc,48.0833,20.6667,Hungary,1699483210,1,240.33,0.0,2.59,56.51,1.68,2.63,0.39
Agri,39.7186,43.0508,Turkey,1699483211,2,283.72,0.0,9.85,46.49,18.0,20.07,13.05
Kutaisi,42.25,42.7,Georgia,1699483211,1,213.62,0.0,1.69,52.21,1.55,2.14,2.01
Sibiu,45.7928,24.1519,Romania,1699483211,2,230.31,0.0,1.69,66.52,1.9,2.31,0.4
Bacau,46.5833,26.9167,Romania,1699483211,1,253.68,0.0,2.74,40.77,1.79,3.38,0.36
Aalborg,57.05,9.9167,Denmark,1699483211,1,236.99,0.0,4.16,57.22,0.94,1.02,0.45
Coimbra,40.2111,-8.4292,Portugal,1699483041,2,205.28,0.0,1.52,85.83,1.11,1.51,0.11
Reykjavik,64.1467,-21.94,Iceland,1699483211,2,226.97,0.0,0.46,75.82,0.5,1.65,0.34
Targu-Mures,46.5456,24.5625,Romania,1699483211,1,260.35,0.0,3.56,38.98,5.41,6.78,0.6
Bern,46.9481,7.4475,Switzerland,1699483211,2,447.27,0.74,33.59,9.39,16.87,19.1,3.39
Luxembourg,49.6117,6.1319,Luxembourg,1699483212,2,211.95,0.0,1.99,69.38,0.5,0.57,0.3
Innsbruck,47.2683,11.3933,Austria,1699483212,2,447.27,0.0,19.36,43.99,11.95,13.97,10.89
Vasteras,59.6161,16.5528,Sweden,1699483212,1,253.68,0.0,4.5,17.17,1.25,1.38,0.15
Orebro,59.2739,15.2075,Sweden,1699483212,1,263.69,0.01,8.31,18.42,2.91,3.26,0.16
Baia Mare,47.6667,23.5833,Romania,1699483212,1,283.72,0.01,8.14,21.46,7.87,10.48,3.9
Orleans,47.9025,1.909,France,1699483212,2,216.96,0.0,1.17,75.82,0.81,0.85,0.19
Kars,40.6078,43.0958,Turkey,1699483212,1,220.3,0.0,14.57,41.13,7.39,8.43,12.79
Linkoping,58.4158,15.6253,Sweden,1699483212,1,260.35,0.01,8.31,12.88,2.04,2.25,0.19
Uzhhorod,48.6239,22.295,Ukraine,1699483213,1,247.0,0.02,10.03,13.05,4.15,5.46,1.54
Ioannina,39.6636,20.8522,Greece,1699483213,1,190.26,0.0,1.5,27.54,8.97,11.68,0.84
Jonkoping,57.7828,14.1606,Sweden,1699483213,1,230.31,0.0,1.54,33.98,0.5,0.55,0.09
Rouen,49.4428,1.0886,France,1699483213,1,240.33,0.0,6.77,54.36,2.9,3.67,0.57
Zilina,49.2228,18.74,Slovakia,1699483213,1,233.65,0.0,6.94,43.63,2.28,3.74,0.32
Satu Mare,47.79,22.89,Romania,1699483213,1,263.69,0.0,4.46,34.33,4.58,6.76,0.75
Klagenfurt,46.6167,14.3,Austria,1699483213,1,347.14,0.01,15.77,27.18,5.86,7.82,6.02
Ancona,43.6169,13.5167,Italy,1699483213,2,260.35,0.0,3.17,84.4,1.85,3.95,1.87
