city,lat,lng,country,avg_trend_val,population,review_count,number_of_attractions,attraction_reviews,attraction_photos
Zielona Gora,51.9333,15.5,Poland,0.9386973180076628,216781.0,4782,57,600,443
Moscow,55.7558,37.6178,Russia,0.9003831417624522,17332000.0,808984,8003,268942,367437
Vasteras,59.6161,16.5528,Sweden,0.9003831417624522,128660.0,17859,90,2087,1482
Samara,53.2028,50.1408,Russia,0.8735632183908046,1169719.0,37478,585,9341,9096
Zilina,49.2228,18.74,Slovakia,0.8659003831417624,108000.0,3286,321,756,2146
Baku,40.3667,49.8352,Azerbaijan,0.8544061302681992,2300500.0,117415,795,29488,45568
Nevsehir,38.6264,34.7139,Turkey,0.8314176245210728,153117.0,9665,142,3749,5962
Malmo,55.6058,13.0358,Sweden,0.7816091954022989,351749.0,109591,296,22060,14552
Cluj-Napoca,46.7667,23.5833,Romania,0.7164750957854407,324576.0,40773,266,7144,7524
Tbilisi,41.7225,44.7925,Georgia,0.6934865900383141,1118035.0,192827,1663,51708,75151
Vitoria-Gasteiz,42.85,-2.6833,Spain,0.5670498084291188,253672.0,58834,146,9696,4707
Satu Mare,47.79,22.89,Romania,0.5517241379310345,102411.0,1338,130,170,296
Tekirdag,40.9778,27.5153,Turkey,0.4980842911877394,204001.0,4810,54,628,1002
Vinnytsia,49.2333,28.4833,Ukraine,0.367816091954023,371855.0,3916,77,1217,1141
Kahramanmaras,37.5833,36.9333,Turkey,0.3103448275862069,443575.0,3286,83,750,1611
Zaporizhzhia,47.85,35.1175,Ukraine,0.2835249042145594,741717.0,6012,96,1350,2272
Diyarbakir,37.91,40.24,Turkey,0.2413793103448276,1732396.0,7496,60,1924,2447
Sanliurfa,37.1583,38.7917,Turkey,0.2375478927203065,1985753.0,11854,60,3870,5583
Donetsk,48.0028,37.8053,Ukraine,0.1992337164750957,929063.0,2802,187,1098,1667
Rivne,50.6192,26.2519,Ukraine,0.1187739463601532,246574.0,1297,48,303,498
Canakkale,40.1519,26.4056,Turkey,0.1034482758620689,180823.0,17553,0,0,0
Syktyvkar,61.6667,50.8167,Russia,0.0919540229885057,245313.0,2778,102,741,574
Kharkiv,49.9925,36.2311,Ukraine,0.0344827586206896,1446107.0,29087,359,6040,4403
Belgorod,50.6,36.6,Russia,0.0344827586206896,391702.0,7662,171,1500,1857
Stavropol,45.05,41.9833,Russia,0.0229885057471264,450680.0,7729,190,1269,1991
Simferopol,44.9484,34.1,Ukraine,0.0153256704980842,341799.0,10571,93,1127,1224
Orebro,59.2739,15.2075,Sweden,0.0114942528735632,126604.0,18595,63,2389,1524
Ivano-Frankivsk,48.9228,24.7106,Ukraine,0.0114942528735632,238196.0,3995,49,497,532
Targu-Mures,46.5456,24.5625,Romania,0.0114942528735632,134290.0,6091,57,950,1113
Siirt,37.925,41.9458,Turkey,0.0076628352490421,166332.0,217,11,48,151
Pskov,57.8167,28.3333,Russia,0.0076628352490421,209840.0,16749,278,4583,7267
Mykolaiv,46.975,31.995,Ukraine,0.003831417624521,498748.0,2992,64,677,652
Orenburg,51.7667,55.1,Russia,0.003831417624521,564773.0,6732,169,1881,1683
Adiyaman,37.7639,38.2778,Turkey,0.003831417624521,304615.0,2113,16,937,1869
Logrono,42.465,-2.4456,Spain,0.003831417624521,150808.0,69541,156,12641,8958
Saint Petersburg,59.95,30.3167,Russia,14.457692307692307,5384342.0,145918,558,43567,29439
Kazan,55.7964,49.1089,Russia,13.392307692307693,1243500.0,99954,869,32950,36425
Murmansk,68.9706,33.075,Russia,11.657692307692308,298096.0,12561,168,3560,4873
Perm,58.0139,56.2489,Russia,9.176923076923076,1048005.0,20170,533,5316,8188
Ufa,54.7261,55.9475,Russia,8.569230769230769,1115560.0,25236,324,5471,4280
Saarbrucken,49.2333,7.0,Germany,7.038461538461538,179634.0,21940,82,2443,1720
Volgograd,48.7086,44.5147,Russia,1.9307692307692308,1015586.0,27721,416,9917,11196
Petrozavodsk,61.7833,34.35,Russia,1.7846153846153847,278551.0,11428,170,2607,3738
Astrakhan,46.35,48.035,Russia,1.4884615384615385,532504.0,11271,161,3576,4008
Chelyabinsk,55.15,61.4,Russia,1.4846153846153847,1202371.0,20959,340,5205,4501
Saratov,51.5333,46.0167,Russia,1.1384615384615384,845300.0,12280,278,3077,2454
Voronezh,51.6717,39.2106,Russia,0.8884615384615384,1050602.0,26291,328,5319,4902
Nalchik,43.4833,43.6167,Russia,0.7346153846153847,265162.0,2493,62,760,1564
Penza,53.2,45.0,Russia,0.676923076923077,523726.0,5239,153,1167,1280
Kirov,58.6,49.65,Russia,0.6538461538461539,501468.0,7572,172,1735,1825
Vladikavkaz,43.04,44.6775,Russia,0.5923076923076923,306978.0,4506,77,1009,2181
Arkhangelsk,64.55,40.5333,Russia,0.5923076923076923,351488.0,9526,0,0,0
Cheboksary,56.1333,47.25,Russia,0.5038461538461538,489498.0,9024,213,2108,2686
